,InventoryId,Store,Brand,Description,Size,SalesQuantity,SalesDollars,SalesPrice,SalesDate,Volume,Classification,ExciseTax,VendorNo,VendorName
0,1_HARDERSFIELD_1004,1,1004,Jim Beam w/2 Rocks Glasses,750mL,1,16.49,16.49,1/1/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
1,1_HARDERSFIELD_1004,1,1004,Jim Beam w/2 Rocks Glasses,750mL,2,32.98,16.49,1/2/2016,750,1,1.57,12546,JIM BEAM BRANDS COMPANY    
2,1_HARDERSFIELD_1004,1,1004,Jim Beam w/2 Rocks Glasses,750mL,1,16.49,16.49,1/3/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
3,1_HARDERSFIELD_1004,1,1004,Jim Beam w/2 Rocks Glasses,750mL,1,14.49,14.49,1/8/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
4,1_HARDERSFIELD_1005,1,1005,Maker's Mark Combo Pack,375mL 2 Pk,2,69.98,34.99,1/9/2016,375,1,0.79,12546,JIM BEAM BRANDS COMPANY    
5,1_HARDERSFIELD_1005,1,1005,Maker's Mark Combo Pack,375mL 2 Pk,1,34.99,34.99,1/15/2016,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    
6,1_HARDERSFIELD_1005,1,1005,Maker's Mark Combo Pack,375mL 2 Pk,1,34.99,34.99,1/22/2016,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    
7,1_HARDERSFIELD_1005,1,1005,Maker's Mark Combo Pack,375mL 2 Pk,1,34.99,34.99,1/30/2016,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    
8,1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,4,59.96,14.99,1/5/2016,750,2,0.45,2000,SOUTHERN WINE & SPIRITS NE 
9,1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,14.99,1/6/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
10,1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,14.99,1/8/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
11,1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,14.99,1/10/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
12,1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,14.99,1/19/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
13,1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,3,44.97,14.99,1/22/2016,750,2,0.34,2000,SOUTHERN WINE & SPIRITS NE 
14,1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,2,29.98,14.99,1/23/2016,750,2,0.22,2000,SOUTHERN WINE & SPIRITS NE 
15,1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,14.99,1/25/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
16,1_HARDERSFIELD_10058,1,10058,F Coppola Dmd Ivry Cab Svgn,750mL,1,14.99,14.99,1/29/2016,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE 
17,1_HARDERSFIELD_1006,1,1006,Jim Beam Candy Cane 4/50mLs,50mL 4 Pk,1,3.99,3.99,1/29/2016,50,1,0.05,12546,JIM BEAM BRANDS COMPANY    
18,1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,1,8.99,8.99,1/1/2016,750,2,0.11,10754,PERFECTA WINES             
19,1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,1,8.99,8.99,1/2/2016,750,2,0.11,10754,PERFECTA WINES             
20,1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,1,8.99,8.99,1/5/2016,750,2,0.11,10754,PERFECTA WINES             
21,1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,1,8.99,8.99,1/7/2016,750,2,0.11,10754,PERFECTA WINES             
22,1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,3,26.97,8.99,1/9/2016,750,2,0.34,10754,PERFECTA WINES             
23,1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,1,8.99,8.99,1/14/2016,750,2,0.11,10754,PERFECTA WINES             
24,1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,1,8.99,8.99,1/16/2016,750,2,0.11,10754,PERFECTA WINES             
25,1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,1,8.99,8.99,1/18/2016,750,2,0.11,10754,PERFECTA WINES             
26,1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,2,17.98,8.99,1/22/2016,750,2,0.22,10754,PERFECTA WINES             
27,1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,1,8.99,8.99,1/23/2016,750,2,0.11,10754,PERFECTA WINES             
28,1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,3,26.97,8.99,1/24/2016,750,2,0.34,10754,PERFECTA WINES             
29,1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,1,8.99,8.99,1/28/2016,750,2,0.11,10754,PERFECTA WINES             
30,1_HARDERSFIELD_10062,1,10062,Terroirs du Rhone,750mL,1,8.99,8.99,1/30/2016,750,2,0.11,10754,PERFECTA WINES             
31,1_HARDERSFIELD_1009,1,1009,Rebel Yell Variety Pack,750mL 3 Pk,1,49.99,49.99,1/2/2016,750,1,0.79,8352,LUXCO INC                  
32,1_HARDERSFIELD_1012,1,1012,Courvoisier VSOP VAP,750mL,1,34.99,34.99,1/29/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
33,1_HARDERSFIELD_1013,1,1013,Kahlua Pumpkin Spice Liqueur,750mL,1,18.99,18.99,1/6/2016,750,1,0.79,17035,PERNOD RICARD USA          
34,1_HARDERSFIELD_1013,1,1013,Kahlua Pumpkin Spice Liqueur,750mL,1,18.99,18.99,1/29/2016,750,1,0.79,17035,PERNOD RICARD USA          
35,1_HARDERSFIELD_1019,1,1019,Drambuie Glass Pack,750mL,1,26.99,26.99,1/9/2016,750,1,0.79,3664,WILLIAM GRANT & SONS INC   
36,1_HARDERSFIELD_1019,1,1019,Drambuie Glass Pack,750mL,1,26.99,26.99,1/20/2016,750,1,0.79,3664,WILLIAM GRANT & SONS INC   
